gene	reference	direction	firstBase	lastBase
gene_1903	NC_000962.3	+	2113139	2115471
gene_1904	NC_000962.3	+	2115771	2117247
gene_1905	NC_000962.3	+	2117348	2119437
gene_1906	NC_000962.3	-	2119465	2120695
gene_1907	NC_000962.3	-	2120794	2121423
gene_1908	NC_000962.3	-	2121496	2121882
lldD2	NC_000962.3	-	2121908	2123145
gene_1910	NC_000962.3	+	2123181	2123603
gene_1911	NC_000962.3	+	2123691	2124366
gene_1912	NC_000962.3	+	2124385	2124820
bfrA	NC_000962.3	+	2125339	2125816
gene_1914	NC_000962.3	+	2125908	2127964
glnA3	NC_000962.3	+	2128021	2129373
gene_1916	NC_000962.3	+	2129377	2130508
cyp140	NC_000962.3	-	2130540	2131852
lppE	NC_000962.3	-	2131909	2132326
gene_1919	NC_000962.3	-	2132374	2133199
gene_1920	NC_000962.3	-	2133234	2133691
rpfC	NC_000962.3	-	2133734	2134259
gene_1922	NC_000962.3	-	2134279	2134865
fbpB	NC_000962.3	-	2134892	2135858
gene_1924	NC_000962.3	+	2136262	2137395
gene_1925	NC_000962.3	+	2137375	2138076
gene_1926	NC_000962.3	-	2138179	2138612
gene_1927	NC_000962.3	-	2139081	2139684
AS1890	NC_000962.3	+	2139426	2139650
gene_1929	NC_000962.3	+	2139747	2140143
gene_1930	NC_000962.3	+	2140167	2140474
gene_1931	NC_000962.3	+	2140486	2140696
gene_1932	NC_000962.3	-	2140738	2141863
gene_1933	NC_000962.3	+	2142521	2143668
gene_1934	NC_000962.3	-	2143535	2144444
gene_1935	NC_000962.3	-	2144458	2144877
gene_1936	NC_000962.3	+	2144946	2145241
lppD	NC_000962.3	-	2145220	2146244
lipJ	NC_000962.3	-	2146252	2147624
cinA	NC_000962.3	+	2147662	2148946
nanT	NC_000962.3	-	2149009	2150267
gene_1941	NC_000962.3	+	2150363	2150761
gene_1942	NC_000962.3	+	2150955	2151384
aao	NC_000962.3	-	2151433	2152389
gene_1944	NC_000962.3	-	2152429	2152895
gene_1945	NC_000962.3	-	2153237	2153874
katG	NC_000962.3	-	2153897	2156109
furA	NC_000962.3	-	2156157	2156584
gene_1948	NC_000962.3	-	2156709	2157298
lppC	NC_000962.3	-	2157386	2157978
fadB5	NC_000962.3	-	2158087	2159091
gene_1951	NC_000962.3	+	2159193	2159941
gene_1952	NC_000962.3	-	2159926	2160324
aceAa	NC_000962.3	+	2160465	2161565
aceAb	NC_000962.3	+	2161572	2162754
PPE34	NC_000962.3	-	2162938	2167307
PPE35	NC_000962.3	-	2167652	2170609
gene_1957	NC_000962.3	-	2171069	2171524
gene_1958	NC_000962.3	+	2171630	2172480
lppF	NC_000962.3	-	2172523	2173786
gene_1960	NC_000962.3	+	2174068	2175182
lipD	NC_000962.3	+	2175172	2176505
gene_1962	NC_000962.3	-	2176555	2176930
fadD31	NC_000962.3	+	2177088	2178946
mpt63	NC_000962.3	-	2178962	2179432
gene_1965	NC_000962.3	+	2179674	2180439
gene_1966	NC_000962.3	-	2180452	2181212
gene_1967	NC_000962.3	-	2181268	2181905
gene_1968	NC_000962.3	-	2181925	2182433
gene_1969	NC_000962.3	-	2182463	2183231
tpx	NC_000962.3	+	2183376	2183866
fadE18	NC_000962.3	-	2183874	2184948
fadE17	NC_000962.3	-	2184965	2186181
echA13	NC_000962.3	-	2186205	2187159
gene_1974	NC_000962.3	+	2187388	2188486
gene_1975	NC_000962.3	+	2188498	2191006
ephB	NC_000962.3	+	2191027	2192097
gene_1977	NC_000962.3	+	2192100	2192607
ribA1	NC_000962.3	+	2192613	2193659
gene_1979	NC_000962.3	+	2193665	2194432
mazF5	NC_000962.3	-	2194649	2194966
mazE5	NC_000962.3	-	2194971	2195343
gene_1982	NC_000962.3	-	2195350	2195927
gene_1983	NC_000962.3	+	2195994	2197353
lppG	NC_000962.3	-	2197512	2197958
gene_1985	NC_000962.3	+	2198028	2198420
gene_1986	NC_000962.3	-	2198713	2199064
gene_1987	NC_000962.3	-	2199998	2200189
gene_1988	NC_000962.3	-	2200191	2200483
vapB14	NC_000962.3	+	2200726	2200932
vapC14	NC_000962.3	+	2200939	2201247
gene_1991	NC_000962.3	-	2201224	2201735
higB	NC_000962.3	+	2201720	2202094
higA	NC_000962.3	+	2202141	2202587
gene_1994	NC_000962.3	+	2202587	2203121
gene_1995	NC_000962.3	-	2203023	2203626
parE1	NC_000962.3	-	2203683	2203973
parD1	NC_000962.3	-	2203980	2204221
gene_1998	NC_000962.3	+	2204216	2204701
vapC35	NC_000962.3	-	2204867	2205273
vapB35	NC_000962.3	-	2205276	2205541
mce3R	NC_000962.3	-	2205587	2206797
yrbE3A	NC_000962.3	+	2207702	2208489
yrbE3B	NC_000962.3	+	2208512	2209313
mce3A	NC_000962.3	+	2209329	2210602
mce3B	NC_000962.3	+	2210600	2211624
mce3C	NC_000962.3	+	2211632	2212855
mce3D	NC_000962.3	+	2212854	2214126
lprM	NC_000962.3	+	2214125	2215248
mce3F	NC_000962.3	+	2215258	2216561
gene_2010	NC_000962.3	+	2216597	2217160
gene_2011	NC_000962.3	+	2217165	2217643
gene_2012	NC_000962.3	+	2217659	2218035
gene_2013	NC_000962.3	+	2218055	2218715
gene_2014	NC_000962.3	-	2218848	2219249
gene_2015	NC_000962.3	+	2219755	2220796
gene_2016	NC_000962.3	+	2220916	2221756
gene_2017	NC_000962.3	-	2221724	2223159
mpt64	NC_000962.3	-	2223349	2224029
nrdF1	NC_000962.3	-	2224226	2225183
vapC36	NC_000962.3	-	2225414	2225828
vapB36	NC_000962.3	-	2225849	2226099
PE_PGRS35	NC_000962.3	+	2226251	2227916
cfp21	NC_000962.3	-	2227913	2228558
gene_2024	NC_000962.3	+	2228683	2228901
gene_2025	NC_000962.3	-	2228997	2229897
gene_2026	NC_000962.3	+	2230014	2230610
gene_2027	NC_000962.3	+	2231030	2231447
erm(37)	NC_000962.3	+	2231688	2232217
gene_2029	NC_000962.3	-	2232743	2233297
gene_2030	NC_000962.3	-	2233301	2233628
mazF6	NC_000962.3	-	2234312	2234644
mazE6	NC_000962.3	-	2234649	2234888
ctpG	NC_000962.3	-	2234991	2237304
gene_2034	NC_000962.3	-	2237307	2237569
cmtR	NC_000962.3	-	2237636	2237983
gene_2036	NC_000962.3	+	2238147	2238902
gene_2037	NC_000962.3	+	2239003	2239954
ctpF	NC_000962.3	+	2240158	2242874
gene_2039	NC_000962.3	-	2242952	2243714
gene_2040	NC_000962.3	-	2243816	2245135
gene_2041	NC_000962.3	+	2245210	2246817
gene_2042	NC_000962.3	+	2246833	2247578
fabG3	NC_000962.3	+	2247659	2248433
gene_2044	NC_000962.3	-	2248570	2249417
gene_2045	NC_000962.3	-	2249485	2250973
gene_2046	NC_000962.3	-	2250999	2251876
otsB1	NC_000962.3	+	2252008	2255978
fdxA	NC_000962.3	-	2256091	2256423
gene_2049	NC_000962.3	-	2256622	2257941
vapB15	NC_000962.3	+	2258035	2258266
vapC15	NC_000962.3	+	2258277	2258670
gene_2052	NC_000962.3	-	2258855	2259282
gene_2053	NC_000962.3	+	2259332	2259812
gene_2054	NC_000962.3	-	2261818	2263069
gene_2055	NC_000962.3	+	2263427	2263997
gene_2056	NC_000962.3	+	2264001	2265030
gene_2057	NC_000962.3	+	2265281	2265997
gene_2058	NC_000962.3	+	2265994	2266404
gene_2059	NC_000962.3	-	2266812	2267102
gene_2060	NC_000962.3	-	2267125	2267715
gene_2061	NC_000962.3	-	2267751	2268106
gene_2062	NC_000962.3	-	2268276	2268720
gene_2063	NC_000962.3	-	2268695	2270238
gene_2064	NC_000962.3	-	2270758	2271746
gene_2065	NC_000962.3	-	2271869	2272744
dosT	NC_000962.3	-	2272788	2274502
gene_2067	NC_000962.3	-	2274569	2275404
pfkB	NC_000962.3	-	2275404	2276416
gene_2069	NC_000962.3	-	2276446	2278484
hspX	NC_000962.3	-	2278503	2278926
acg	NC_000962.3	+	2279135	2280119
gene_2072	NC_000962.3	-	2280248	2281077
gene_2073	NC_000962.3	+	2281294	2281613
gene_2074	NC_000962.3	+	2281616	2282100
gene_2075	NC_000962.3	+	2282106	2282732
gene_2076	NC_000962.3	-	2282747	2283719
gene_2077	NC_000962.3	-	2283726	2284787
gene_2078	NC_000962.3	-	2284806	2285638
gene_2079	NC_000962.3	-	2285628	2286527
gene_2080	NC_000962.3	-	2286529	2287844
gene_2081	NC_000962.3	-	2287886	2288674
pncA	NC_000962.3	-	2288680	2289234
gene_2083	NC_000962.3	-	2289290	2289592
lipT	NC_000962.3	-	2289691	2291217
lppI	NC_000962.3	+	2291268	2291922
gene_2086	NC_000962.3	-	2291968	2294518
pks12	NC_000962.3	-	2294532	2306980
ASpks	NC_000962.3	+	2305815	2305955
gene_2089	NC_000962.3	-	2307297	2307516
gene_2090	NC_000962.3	+	2307822	2308153
ppm1	NC_000962.3	-	2308138	2310751
gene_2092	NC_000962.3	-	2310915	2312512
fxsA	NC_000962.3	-	2312530	2313045
gene_2094	NC_000962.3	+	2313128	2313837
rpsR2	NC_000962.3	-	2314094	2314347
rpsN2	NC_000962.3	-	2314357	2314650
rpmG1	NC_000962.3	-	2314663	2314822
rpmB2	NC_000962.3	-	2314832	2315054
gene_2099	NC_000962.3	+	2315174	2316709
gene_2100	NC_000962.3	+	2316279	2316675
gene_2101	NC_000962.3	-	2316684	2317085
cobN	NC_000962.3	-	2317170	2320745
mazE7	NC_000962.3	+	2320832	2321060
mazF7	NC_000962.3	+	2321057	2321464
cobG	NC_000962.3	+	2321456	2322537
cobH	NC_000962.3	+	2322553	2323174
cobIJ	NC_000962.3	+	2323181	2324701
gene_2108	NC_000962.3	-	2324646	2325864
blaC	NC_000962.3	-	2325894	2326804
sigC	NC_000962.3	+	2326945	2327499
cobK	NC_000962.3	-	2327499	2328221
cobM	NC_000962.3	-	2328225	2328973
cobL	NC_000962.3	-	2328978	2330145
gene_2114	NC_000962.3	-	2330222	2330956
gene_2115	NC_000962.3	+	2330996	2331404
gene_2116	NC_000962.3	-	2331423	2332872
gene_2117	NC_000962.3	-	2333042	2333284
gene_2118	NC_000962.3	-	2333329	2334290
gene_2119	NC_000962.3	-	2334297	2334587
gene_2120	NC_000962.3	+	2335060	2335367
gene_2121	NC_000962.3	+	2335358	2337317
lppJ	NC_000962.3	+	2337305	2337860
gene_2123	NC_000962.3	-	2338070	2338505
gene_2124	NC_000962.3	+	2338713	2340867
gene_2125	NC_000962.3	+	2340879	2341809
gene_2126	NC_000962.3	+	2341815	2342942
gene_2127	NC_000962.3	+	2343026	2343324
gene_2128	NC_000962.3	+	2343319	2343909
pknJ	NC_000962.3	+	2344418	2346176
pepE	NC_000962.3	-	2346200	2347315
gene_2131	NC_000962.3	+	2347377	2348545
gene_2132	NC_000962.3	-	2348564	2349283
helY	NC_000962.3	-	2349339	2352048
tatC	NC_000962.3	-	2352104	2353023
tatA	NC_000962.3	-	2353049	2353290
pafC	NC_000962.3	-	2353364	2354313
pafB	NC_000962.3	-	2354319	2355303
pafA	NC_000962.3	-	2355319	2356670
PE_PGRS36	NC_000962.3	-	2356733	2358033
PE21	NC_000962.3	-	2358038	2358204
gene_2141	NC_000962.3	+	2358388	2360037
helZ	NC_000962.3	+	2360246	2363281
gene_2143	NC_000962.3	+	2363396	2364100
vapC37	NC_000962.3	-	2364085	2364518
vapB37	NC_000962.3	-	2364526	2364773
gene_2146	NC_000962.3	-	2364803	2365054
PE22	NC_000962.3	+	2367367	2367648
PPE36	NC_000962.3	+	2367718	2368437
prcA	NC_000962.3	-	2368987	2369728
prcB	NC_000962.3	-	2369728	2370596
pup	NC_000962.3	-	2370606	2370790
dop	NC_000962.3	-	2370912	2372567
gene_2153	NC_000962.3	+	2372635	2373814
gene_2154	NC_000962.3	+	2373839	2374456
mpa	NC_000962.3	-	2374462	2376281
lppK	NC_000962.3	+	2376570	2377137
gene_2157	NC_000962.3	+	2377150	2377440
gene_2158	NC_000962.3	-	2377471	2378303
gene_2159	NC_000962.3	+	2378385	2379221
gene_2160	NC_000962.3	-	2379249	2379719
hisG	NC_000962.3	-	2379805	2380652
hisE	NC_000962.3	-	2380667	2380937
PPE37	NC_000962.3	+	2381073	2382486
metH	NC_000962.3	-	2382495	2386065
gene_2165	NC_000962.3	+	2386299	2387164
PE_PGRS37	NC_000962.3	-	2387203	2387971
ansP1	NC_000962.3	+	2388618	2390083
gene_2168	NC_000962.3	+	2390091	2390285
gene_2169	NC_000962.3	-	2390314	2391184
mshC	NC_000962.3	-	2391217	2392459
cysQ	NC_000962.3	-	2392520	2393311
gene_2172	NC_000962.3	+	2393418	2393634
gene_2173	NC_000962.3	-	2393852	2394637
gene_2174	NC_000962.3	-	2394650	2395237
gene_2175	NC_000962.3	-	2395304	2396004
gene_2176	NC_000962.3	-	2396012	2396836
gene_2177	NC_000962.3	-	2396905	2397307
lppL	NC_000962.3	+	2397329	2398401
pyrD	NC_000962.3	+	2398724	2399792
TB18.6	NC_000962.3	-	2399803	2400319
gene_2181	NC_000962.3	-	2400384	2401721
leuU	NC_000962.3	+	2401988	2402065
parE2	NC_000962.3	-	2402199	2402508
parD2	NC_000962.3	-	2402507	2402721
gene_2185	NC_000962.3	+	2402981	2404035
gene_2186	NC_000962.3	-	2404172	2404521
wag31	NC_000962.3	-	2404620	2405391
gene_2188	NC_000962.3	-	2405665	2405954
gene_2189	NC_000962.3	-	2406120	2406841
gene_2190	NC_000962.3	-	2406845	2407616
yfiH	NC_000962.3	-	2407624	2408374
ftsZ	NC_000962.3	-	2408387	2409519
ftsQ	NC_000962.3	-	2409704	2410640
murC	NC_000962.3	-	2410642	2412119
murG	NC_000962.3	-	2412126	2413351
ftsW	NC_000962.3	-	2413347	2414914
murD	NC_000962.3	-	2414933	2416393
murX	NC_000962.3	-	2416398	2417474
murF	NC_000962.3	-	2417472	2419001
murE	NC_000962.3	-	2419008	2420599
gene_2201	NC_000962.3	-	2420636	2421656
gene_2202	NC_000962.3	-	2421670	2422278
gene_2203	NC_000962.3	-	2422275	2423136
PE_PGRS38	NC_000962.3	-	2423239	2424836
pbpB	NC_000962.3	-	2425052	2427080
gene_2206	NC_000962.3	-	2427087	2428238
gene_2207	NC_000962.3	-	2428237	2429420
gene_2208	NC_000962.3	-	2429434	2429849
gene_2209	NC_000962.3	-	2431567	2431968
gene_2210	NC_000962.3	+	2432238	2432853
lppM	NC_000962.3	+	2432950	2433626
gene_2212	NC_000962.3	-	2433637	2434528
idsA2	NC_000962.3	+	2434852	2435896
mptA	NC_000962.3	+	2435914	2437456
gene_2215	NC_000962.3	-	2437449	2437878
pknL	NC_000962.3	+	2437947	2439133
gene_2217	NC_000962.3	-	2439282	2439941
aroG	NC_000962.3	-	2440337	2441711
gene_2219	NC_000962.3	-	2441816	2442310
gene_2220	NC_000962.3	-	2442329	2443206
gene_2221	NC_000962.3	+	2443308	2444584
gene_2222	NC_000962.3	-	2444594	2445328
gene_2223	NC_000962.3	-	2445423	2445804
gene_2224	NC_000962.3	-	2445812	2446945
TB16_	NC_000962.3	-	2447066	2447497
gene_2226	NC_000962.3	-	2447613	2447993
fadD15	NC_000962.3	+	2448163	2449960
pimB	NC_000962.3	-	2449996	2451149
gene_2229	NC_000962.3	-	2451254	2452013
gene_2230	NC_000962.3	-	2452122	2453270
gene_2231	NC_000962.3	+	2453821	2455756
trpD	NC_000962.3	-	2455639	2456742
ctaE	NC_000962.3	+	2456906	2457509
qcrC	NC_000962.3	+	2457560	2458392
qcrA	NC_000962.3	+	2458393	2459672
qcrB	NC_000962.3	+	2459682	2461322
gene_2237	NC_000962.3	-	2461507	2462146
mmpS3	NC_000962.3	-	2462153	2463038
gene_2239	NC_000962.3	-	2463235	2463643
ctaC	NC_000962.3	-	2463664	2464749
asnB	NC_000962.3	+	2465005	2466950
adoK	NC_000962.3	-	2467060	2468020
gene_2243	NC_000962.3	+	2468235	2468920
gene_2244	NC_000962.3	-	2468936	2469279
gene_2245	NC_000962.3	-	2469386	2470463
gene_2246	NC_000962.3	+	2470621	2471328
cobT	NC_000962.3	+	2471416	2472495
cobS	NC_000962.3	+	2472501	2473240
gene_2249	NC_000962.3	+	2473403	2474938
ilvE	NC_000962.3	-	2474872	2475962
gcvT	NC_000962.3	-	2476045	2477177
gene_2252	NC_000962.3	+	2477191	2478318
pepB	NC_000962.3	+	2478338	2479876
ephD	NC_000962.3	-	2479927	2481694
dlaT	NC_000962.3	+	2481965	2483622
gene_2256	NC_000962.3	+	2483627	2484526
lipB	NC_000962.3	+	2484592	2485267
lipA	NC_000962.3	+	2485277	2486203
gene_2259	NC_000962.3	+	2486234	2486984
gene_2260	NC_000962.3	-	2486996	2487408
glnA1	NC_000962.3	+	2487619	2489049
glnE	NC_000962.3	-	2489371	2492347
glnA2	NC_000962.3	-	2492403	2493738
gene_2264	NC_000962.3	-	2493845	2495397
caeA	NC_000962.3	-	2495465	2497023
gene_2266	NC_000962.3	-	2497225	2497437
panB	NC_000962.3	+	2497744	2498585
gene_2268	NC_000962.3	+	2498837	2500373
rnpB	NC_000962.3	-	2500444	2500750
gene_2270	NC_000962.3	+	2500931	2501627
gene_2271	NC_000962.3	-	2501648	2502736
gene_2272	NC_000962.3	-	2502736	2503465
gene_2273	NC_000962.3	-	2503477	2504602
cobC	NC_000962.3	-	2504613	2505691
vapC16	NC_000962.3	-	2505741	2506153
vapB16	NC_000962.3	-	2506212	2506378
ptkA	NC_000962.3	+	2506285	2507144
ptpA	NC_000962.3	+	2507145	2507632
gene_2279	NC_000962.3	+	2507642	2508446
cobD	NC_000962.3	-	2508435	2509374
gene_2281	NC_000962.3	+	2509491	2510256
gene_2282	NC_000962.3	-	2510356	2510585
valV	NC_000962.3	-	2510600	2510661
ahpE	NC_000962.3	-	2510718	2511168
gene_2285	NC_000962.3	-	2511184	2511646
gene_2286	NC_000962.3	-	2511697	2512272
aceE	NC_000962.3	+	2512546	2515239
gene_2288	NC_000962.3	+	2515312	2516544
fabD	NC_000962.3	+	2516791	2517692
mcr16	NC_000962.3	-	2517035	2517128
acpM	NC_000962.3	+	2517776	2518109
kasA	NC_000962.3	+	2518117	2519363
kasB	NC_000962.3	+	2519400	2520703
accD6	NC_000962.3	+	2520749	2522160
gene_2295	NC_000962.3	+	2522363	2523166
glpD1	NC_000962.3	-	2523245	2524784
gene_2297	NC_000962.3	-	2524786	2525346
gene_2298	NC_000962.3	+	2525573	2526984
gene_2299	NC_000962.3	+	2526997	2527909
gene_2300	NC_000962.3	+	2527984	2528479
gene_2301	NC_000962.3	-	2528525	2528971
gene_2302	NC_000962.3	-	2528988	2529174
gene_2303	NC_000962.3	-	2529349	2529866
gene_2304	NC_000962.3	-	2530008	2530814
gene_2305	NC_000962.3	-	2530836	2531888
mscR	NC_000962.3	+	2532252	2533327
gene_2307	NC_000962.3	+	2533332	2533963
gene_2308	NC_000962.3	-	2534044	2535545
gene_2309	NC_000962.3	+	2535642	2536590
gene_2310	NC_000962.3	-	2536575	2538347
gene_2311	NC_000962.3	+	2538708	2539920
cyp124	NC_000962.3	+	2540107	2541385
gene_2313	NC_000962.3	-	2541649	2542808
cyp128	NC_000962.3	-	2542807	2544270
gene_2315	NC_000962.3	-	2544294	2544619
lppN	NC_000962.3	+	2544700	2545222
gene_2317	NC_000962.3	+	2545332	2545626
gene_2318	NC_000962.3	+	2545742	2546097
gene_2319	NC_000962.3	+	2546106	2546425
mazF8	NC_000962.3	-	2546492	2546796
mazE8	NC_000962.3	-	2546846	2547087
gene_2322	NC_000962.3	+	2546883	2547751
cyp121	NC_000962.3	+	2547750	2548937
gene_2324	NC_000962.3	-	2549127	2550025
gene_2325	NC_000962.3	+	2551566	2552931
pitB	NC_000962.3	+	2553173	2554831
gene_2327	NC_000962.3	-	2554938	2555872
gene_2328	NC_000962.3	+	2555940	2556133
lipM	NC_000962.3	+	2556146	2557440
gene_2330	NC_000962.3	+	2557480	2558809
gene_2331	NC_000962.3	-	2558876	2559564
yjcE	NC_000962.3	+	2559704	2561325
gene_2333	NC_000962.3	+	2561332	2561705
cdh	NC_000962.3	+	2561674	2562455
lppO	NC_000962.3	+	2562603	2563108
sseB	NC_000962.3	+	2563179	2564025
gene_2337	NC_000962.3	-	2564034	2564246
gene_2338	NC_000962.3	-	2564295	2565031
gene_2339	NC_000962.3	+	2565335	2566543
gene_2340	NC_000962.3	+	2566778	2567404
gene_2341	NC_000962.3	+	2567509	2568397
gene_2342	NC_000962.3	+	2568443	2568889
gene_2343	NC_000962.3	+	2569089	2570050
htpG	NC_000962.3	-	2570059	2571998
gene_2345	NC_000962.3	-	2572078	2573001
cut2	NC_000962.3	+	2573019	2573698
gene_2347	NC_000962.3	+	2573818	2574047
gene_2348	NC_000962.3	-	2574097	2575017
gene_2349	NC_000962.3	-	2575018	2575222
gene_2350	NC_000962.3	+	2575813	2577090
gene_2351	NC_000962.3	+	2577110	2577919
gene_2352	NC_000962.3	-	2577853	2578688
gene_2353	NC_000962.3	-	2579229	2579412
gene_2354	NC_000962.3	-	2579505	2579930
gene_2355	NC_000962.3	-	2580027	2580210
gene_2356	NC_000962.3	+	2580422	2581129
gene_2357	NC_000962.3	+	2581148	2581469
metV	NC_000962.3	-	2581772	2581837
gene_2359	NC_000962.3	+	2583047	2583328
gene_2360	NC_000962.3	+	2583443	2583778
gene_2361	NC_000962.3	+	2583889	2584403
gene_2362	NC_000962.3	+	2584487	2584748
gene_2363	NC_000962.3	-	2585051	2585901
gene_2364	NC_000962.3	-	2585918	2587288
gene_2365	NC_000962.3	-	2587290	2588801
uspA	NC_000962.3	+	2588846	2589708
uspB	NC_000962.3	+	2589704	2590520
uspC	NC_000962.3	+	2590525	2591839
gene_2369	NC_000962.3	-	2591852	2592721
rocE	NC_000962.3	-	2592725	2594152
gene_2371	NC_000962.3	-	2595362	2596263
gene_2372	NC_000962.3	+	2596341	2596776
gene_2373	NC_000962.3	-	2597015	2597852
gene_2374	NC_000962.3	-	2597854	2599947
gene_2375	NC_000962.3	+	2599990	2600478
PE23	NC_000962.3	+	2600738	2601877
narK1	NC_000962.3	-	2601913	2603456
lppP	NC_000962.3	-	2603700	2604216
gene_2379	NC_000962.3	+	2604299	2604675
gene_2380	NC_000962.3	+	2604741	2605076
mez	NC_000962.3	+	2605115	2606748
stp	NC_000962.3	-	2606712	2608320
cysK1	NC_000962.3	+	2608797	2609721
cysE	NC_000962.3	+	2609731	2610412
gene_2385	NC_000962.3	+	2610843	2611802
gene_2386	NC_000962.3	-	2611873	2612982
moeW	NC_000962.3	-	2613107	2614060
mmpL9	NC_000962.3	+	2614692	2617572
PE_PGRS39	NC_000962.3	-	2617669	2618900
asnT	NC_000962.3	-	2619414	2619471
lppQ	NC_000962.3	+	2619605	2620014
gene_2392	NC_000962.3	+	2620277	2620522
dnaG	NC_000962.3	-	2620541	2622443
dgt	NC_000962.3	-	2622456	2623747
gene_2395	NC_000962.3	+	2623825	2625803
esxO	NC_000962.3	-	2625892	2626169
esxP	NC_000962.3	-	2626225	2626518
gene_2398	NC_000962.3	-	2626658	2626978
plcC	NC_000962.3	-	2627172	2628691
plcB	NC_000962.3	-	2628784	2630318
plcA	NC_000962.3	-	2630540	2632069
PPE38	NC_000962.3	-	2632925	2634095
PPE39	NC_000962.3	-	2634535	2635591
glyS	NC_000962.3	-	2639681	2641061
smtB	NC_000962.3	+	2641246	2641652
zur	NC_000962.3	+	2641656	2642037
gene_2407	NC_000962.3	-	2642152	2642572
gene_2408	NC_000962.3	-	2642586	2643468
recO	NC_000962.3	-	2643463	2644254
amiA2	NC_000962.3	+	2644325	2645774
era	NC_000962.3	-	2645771	2646668
gene_2412	NC_000962.3	-	2646752	2647083
gene_2413	NC_000962.3	-	2647068	2648360
gene_2414	NC_000962.3	-	2648368	2648909
phoH1	NC_000962.3	-	2648917	2649965
gene_2416	NC_000962.3	-	2649950	2650241
gene_2417	NC_000962.3	-	2650250	2651555
PE_PGRS40	NC_000962.3	+	2651761	2651934
gene_2419	NC_000962.3	-	2652041	2652823
dnaJ2	NC_000962.3	-	2652846	2653981
hrcA	NC_000962.3	-	2654065	2655087
gene_2422	NC_000962.3	+	2655273	2655581
cfp2	NC_000962.3	-	2655614	2656112
gene_2424	NC_000962.3	-	2656214	2656422
mbtG	NC_000962.3	-	2656407	2657703
mbtF	NC_000962.3	-	2657706	2662082
mbtE	NC_000962.3	-	2662067	2667107
mbtD	NC_000962.3	-	2667254	2670262
mbtC	NC_000962.3	-	2670273	2671603
mbtB	NC_000962.3	-	2671593	2675831
mbtA	NC_000962.3	+	2675938	2677631
mbtJ	NC_000962.3	+	2677732	2678649
mbtI	NC_000962.3	-	2678654	2679997
gene_2434	NC_000962.3	+	2680461	2680662
gene_2435	NC_000962.3	+	2680773	2682015
hemN	NC_000962.3	-	2682018	2683134
rpfD	NC_000962.3	-	2683253	2683706
gene_2438	NC_000962.3	-	2683713	2684264
sirA	NC_000962.3	+	2684683	2686363
cysH	NC_000962.3	+	2686367	2687130
che1	NC_000962.3	+	2687129	2687964
ggtB	NC_000962.3	+	2688012	2689939
gene_2443	NC_000962.3	+	2690075	2692068
mcr7	NC_000962.3	+	2692175	2692512
aprA	NC_000962.3	+	2692231	2692430
aprB	NC_000962.3	+	2692558	2692714
PE_PGRS41	NC_000962.3	+	2692800	2693877
cysA1	NC_000962.3	-	2693915	2694955
cysW	NC_000962.3	-	2694984	2695790
cysT	NC_000962.3	-	2695804	2696642
subI	NC_000962.3	-	2696650	2697714
gene_2452	NC_000962.3	+	2697733	2698050
gene_2453	NC_000962.3	-	2698047	2698237
gene_2454	NC_000962.3	+	2698532	2700451
lppR	NC_000962.3	-	2700537	2701282
lepA	NC_000962.3	-	2701289	2703244
gene_2457	NC_000962.3	+	2703275	2703832
gene_2458	NC_000962.3	-	2704008	2704431
gene_2459	NC_000962.3	+	2704705	2705511
PE24	NC_000962.3	+	2705769	2706733
gene_2461	NC_000962.3	-	2706495	2707327
gene_2462	NC_000962.3	-	2707335	2708309
gene_2463	NC_000962.3	-	2708313	2709957
rpsT	NC_000962.3	+	2710077	2710333
gene_2465	NC_000962.3	-	2710357	2711299
gene_2466	NC_000962.3	-	2711334	2712871
gene_2467	NC_000962.3	-	2712899	2713781
eis	NC_000962.3	-	2714132	2715331
gene_2469	NC_000962.3	-	2715478	2716308
gene_2470	NC_000962.3	-	2716401	2717136
gpgP	NC_000962.3	-	2717131	2717799
gene_2472	NC_000962.3	-	2717803	2718176
nadD	NC_000962.3	-	2718180	2718803
gene_2474	NC_000962.3	+	2719086	2719350
gene_2475	NC_000962.3	+	2719603	2720638
gene_2476	NC_000962.3	-	2720776	2721770
gene_2477	NC_000962.3	-	2721870	2723304
gene_2478	NC_000962.3	-	2723307	2724180
proA	NC_000962.3	-	2724235	2725472
oxyR'	NC_000962.3	-	2725578	2726084
ahpC	NC_000962.3	+	2726194	2726774
ahpD	NC_000962.3	+	2726813	2727339
PPE41	NC_000962.3	-	2727343	2727911
PE25	NC_000962.3	-	2727969	2728265
gene_2485	NC_000962.3	-	2728441	2728844
gene_2486	NC_000962.3	-	2728843	2729127
gene_2487	NC_000962.3	-	2729114	2730559
gene_2488	NC_000962.3	-	2730556	2732747
rbsK	NC_000962.3	+	2733231	2734137
gene_2490	NC_000962.3	+	2734381	2734787
nadE	NC_000962.3	-	2734798	2736826
gene_2492	NC_000962.3	+	2736710	2736987
proB	NC_000962.3	-	2737125	2738241
obg	NC_000962.3	-	2738249	2739684
rpmA	NC_000962.3	-	2739778	2740024
rplU	NC_000962.3	-	2740047	2740352
dctA	NC_000962.3	+	2740708	2742183
rne	NC_000962.3	-	2742126	2744978
ndkA	NC_000962.3	-	2745313	2745718
gene_2500	NC_000962.3	-	2745768	2746135
folC	NC_000962.3	-	2746138	2747594
valS	NC_000962.3	-	2747594	2750223
